question,answer,label
What does Section 3.9 of the HEC policy refer to?,External evaluation of PhD dissertation.,Graduate Education Policy
Is the HEC requirement for research publication in PhD adopted?,"Yes, Section 3.11 is adopted.",Graduate Education Policy
When should the research paper be published for PhD eligibility?,After synopsis approval.,Graduate Education Policy
Can pre-synopsis publications count toward a PhD?,"No, only post-synopsis publications are valid.",Graduate Education Policy
Why must publications be post-synopsis?,To ensure they are based on actual dissertation work.,Graduate Education Policy
From which semester is the new policy applicable?,Fall 2023 semester.,Graduate Education Policy
Are previous graduate batches affected by this policy?,"No, only new batches from Fall 2023 onward.",Graduate Education Policy
Will existing graduate students be assessed under the new policy?,"No, they will follow existing policies.",Graduate Education Policy
Who handles the implementation of the policy at the university?,The Postgraduate Studies office and relevant departments.,Graduate Education Policy
Is the full policy document available?,"Yes, it's attached as Annexure A.",Graduate Education Policy
Who was notified about the policy adoption?,"Vice Chancellor’s Office, Deans, HoDs, faculty, and staff.",Graduate Education Policy
Is external evaluation now mandatory for all PhD dissertations?,"Yes, per the adopted HEC guidelines.",Graduate Education Policy
What is required for a valid PhD publication?,It must be peer-reviewed and published post-synopsis.,Graduate Education Policy
Can a publication be accepted without relevance to the dissertation?,"No, it must be based on the dissertation work.",Graduate Education Policy
Are the admission requirements customized at Sukkur IBA?,"Yes, only students with relevant backgrounds are admitted.",Graduate Education Policy
Can interdisciplinary students apply for graduate programs?,Not unless their field is deemed relevant by the Admission Committee.,Graduate Education Policy
What role does the Dean play in admissions?,To assist in determining academic field relevance.,Graduate Education Policy
Who is the final authority on field relevance?,The Admission Committee in consultation with Dean/HoD.,Graduate Education Policy
Does Sukkur IBA follow HEC's publication timeline exactly?,"Yes, with the condition of post-synopsis publication only.",Graduate Education Policy
Are the HEC policy changes appreciated by Sukkur IBA?,"Yes, the BASR acknowledged and welcomed them.",Graduate Education Policy
What major improvement does the policy bring for PhD students?,Clarity on evaluation and publication standards.,Graduate Education Policy
Is the policy limited to PhD only?,"No, it covers Masters and PhD programs.",Graduate Education Policy
What is the importance of Section 3.11?,It defines research publication requirements for PhD.,Graduate Education Policy
Who conducts the external evaluation for PhD dissertations?,Qualified external examiners as defined in HEC guidelines.,Graduate Education Policy
What type of publication is accepted for a PhD degree?,Peer-reviewed publications relevant to the dissertation.,Graduate Education Policy
Can publications from MS or MPhil count toward a PhD?,"No, only publications during PhD tenure post-synopsis are considered.",Graduate Education Policy
Can students publish before their synopsis?,"Yes, but those papers won’t count for degree requirements.",Graduate Education Policy
What ensures the research is genuine in PhD work?,The publication must be based on dissertation research post-synopsis.,Graduate Education Policy
Does this policy affect MPhil students?,"Yes, as part of the graduate policy framework.",Graduate Education Policy
Who conducts admissions for graduate programs?,Admission Committees within departments.,Graduate Education Policy
Is the PhD evaluation process internal only?,"No, it must include external reviewers.",Graduate Education Policy
How does the policy support academic integrity?,By linking publications strictly to dissertation research.,Graduate Education Policy
Can students with unrelated undergraduate degrees apply for Masters?,Only if the field is deemed relevant by the committee.,Graduate Education Policy
What documents are required for PhD synopsis approval?,Detailed research plan and committee clearance.,Graduate Education Policy
Who approves the PhD synopsis?,The Departmental Research Committee and relevant Dean.,Graduate Education Policy
How many publications are required for a PhD degree?,As defined in Section 3.11 (usually one or more peer-reviewed).,Graduate Education Policy
Can a single-author paper qualify for PhD requirement?,"Yes, if it meets all policy and academic standards.",Graduate Education Policy
Are conferences sufficient for PhD publications?,Only if the proceedings are peer-reviewed and accepted per HEC criteria.,Graduate Education Policy
Does the policy allow for international publications?,"Yes, as long as they meet HEC standards.",Graduate Education Policy
What happens if a paper is accepted pre-synopsis but published post-synopsis?,It still may not be counted if acceptance was pre-synopsis.,Graduate Education Policy
What happens if the external evaluation is not satisfactory?,The dissertation must be revised and re-evaluated.,Graduate Education Policy
Are co-authored papers allowed for PhD?,"Yes, with proper contribution and declaration.",Graduate Education Policy
What is the benefit of external dissertation review?,It enhances the credibility and academic rigor.,Graduate Education Policy
Can research done before enrollment in PhD be used?,"No, only work done during PhD tenure is accepted.",Graduate Education Policy
Does the policy allow exceptions for industry professionals?,No specific exception; academic criteria must be met.,Graduate Education Policy
Are there minimum GPA requirements for graduate admissions?,"Yes, as defined by departmental and HEC guidelines.",Graduate Education Policy
Does the policy mention minimum credit hours for Masters/PhD?,Not explicitly in the notification; detailed in full policy.,Graduate Education Policy
Is plagiarism checked before dissertation submission?,"Yes, as per HEC and institutional standards.",Graduate Education Policy
Is the policy binding on all departments?,"Yes, from Fall 2023 onward.",Graduate Education Policy
Can the policy be further customized?,Only with approval from BASR.,Graduate Education Policy
What is the role of the Registrar in this policy?,To circulate the notification and ensure implementation.,Graduate Education Policy
Who ensures faculty compliance with this policy?,Department Heads and Deans.,Graduate Education Policy
What is the consequence of violating the publication rule?,The PhD degree may not be awarded.,Graduate Education Policy
Can students defer synopsis submission?,"Yes, but within allowed academic timelines.",Graduate Education Policy
How many times can a dissertation be evaluated?,Until it satisfies academic and external reviewer standards.,Graduate Education Policy
Are oral defenses part of the policy?,"Yes, they are typically required post-evaluation.",Graduate Education Policy
Can students appeal evaluation results?,"Yes, through academic grievance channels.",Graduate Education Policy
Are digital publications accepted?,"Yes, if they meet indexing and peer-review criteria.",Graduate Education Policy
What platforms are acceptable for research publications?,"Indexed journals listed by HEC (e.g., Scopus, Web of Science).",Graduate Education Policy
Can journals be changed after paper submission?,"Yes, but must ensure compliance with policy.",Graduate Education Policy
Are part-time students covered by this policy?,"Yes, all graduate students are included.",Graduate Education Policy
Can thesis be submitted in a language other than English?,"Usually English is required, but institutional rules apply.",Graduate Education Policy
Are collaborative dissertations allowed?,"No, dissertations must be individual work.",Graduate Education Policy
Does this policy promote research innovation?,"Yes, by linking publication and dissertation.",Graduate Education Policy
Can a student use the same paper for multiple degrees?,"No, academic duplication is not allowed.",Graduate Education Policy
Are previous versions of this policy still valid?,"No, this one supersedes them for new batches.",Graduate Education Policy
Is there any impact on course structure from this policy?,"Indirectly, through emphasis on research output.",Graduate Education Policy
Can part of MS research be extended into PhD?,Only if approved and distinct from earlier work.,Graduate Education Policy
Are supplementary publications encouraged?,"Yes, but only the main required paper is mandatory.",Graduate Education Policy
Can faculty be co-authors on PhD student papers?,"Yes, with declared contributions.",Graduate Education Policy
How long is PhD duration as per policy?,Typically 3-8 years as per HEC standards.,Graduate Education Policy
What is the maximum extension allowed for PhD?,Usually up to 8 years in total.,Graduate Education Policy
Is continuous enrollment required?,"Yes, students must maintain active status.",Graduate Education Policy
Who monitors PhD progress?,Supervisors and Departmental Research Committees.,Graduate Education Policy
What if a student fails to publish a paper?,They cannot be awarded the PhD degree.,Graduate Education Policy
Can non-traditional journals be accepted?,Only if they meet HEC indexing and peer-review standards.,Graduate Education Policy
Are international students bound by the same policy?,"Yes, policy applies equally to all students.",Graduate Education Policy
What is the eligibility for post-doctorate leave for faculty who availed study leave?,"Faculty who availed MS/PhD study leave from Sukkur IBA can get one-time post-doctorate leave (up to 1.5 years) after bond completion, subject to conditions.",Post-doc Policy
Can faculty who did not avail MS/PhD study leave also apply for post-doctorate leave?,"Yes, after completing 3 years of regular service, subject to financial and departmental approvals.",Post-doc Policy
Can one take post-doctorate leave more than once?,"Yes, if the individual serves the university for 5 years after the first leave.",Post-doc Policy
Are all other terms of the post-doctorate policy unchanged?,"Yes, all other entitlement and eligibility conditions remain the same.",Post-doc Policy
Who approved the post-doctorate leave policy amendment?,The Vice Chancellor approved it after a Strategic HR meeting.,Post-doc Policy
What is the Anti-Drug and Tobacco Committee (ADTC) at Sukkur IBA?,It is a university-formed committee to enforce anti-drug and tobacco policies.,Drug and Tobacco abuse Policy
Who is the focal person for the Drug and Tobacco Abuse Policy?,The Registrar of Sukkur IBA University.,Drug and Tobacco abuse Policy
Who acts as counselor for drug abuse cases on main campus?,The Director of the Career Development Center (CDC).,Drug and Tobacco abuse Policy
What areas are subject to inspection for drug monitoring?,"Cafeteria, canteen, tuck shop, hostels, and similar areas.",Drug and Tobacco abuse Policy
What kind of awareness programs are planned for this policy?,"Regular sessions and annual surveys for students, faculty, and staff.",Drug and Tobacco abuse Policy
What is the email storage limit for faculty and staff?,20 GB per user.,Gmail Storage Limit Policy
What happens to unused student/alumni accounts?,They may be deleted if never accessed.,Gmail Storage Limit Policy
Can student/alumni accounts violating quota be suspended?,"Yes, after notice and data deletion.",Gmail Storage Limit Policy
Who manages the list of storage violations?,The Career Development Center (CDC).,Gmail Storage Limit Policy
Is there a grace period for exceeding email storage limits?,"Yes, but the data must be cleared after notice.",Gmail Storage Limit Policy
How many absences were allowed for 50-minute classes?,12 absences (25%) till Spring 2023.,Attendance Policy
What change occurred in class duration from Fall 2023?,Classes changed to 75 minutes.,Attendance Policy
How many absences are now allowed for 75-minute classes?,8 absences per semester.,Attendance Policy
Who is responsible for marking absences in CMS?,Faculty Members and Director ICT.,Attendance Policy
Can employees take casual leaves without approval?,"No, they must seek prior approval.",Leave Policy
What should be done before availing any type of leave?,Employees must obtain prior approval.,Leave Policy
Are self-granted leaves permitted?,"No, self-granted leaves are discouraged.",Leave Policy
Who receives reminders on proper leave practices?,All faculty and staff at Sukkur IBA.,Leave Policy
How are employee loans processed at Sukkur IBA?,Loan applications are evaluated on merit by a committee.,Employees Loan Policy
Is there a waiting period after taking a loan?,"Yes, loans can only be reapplied for after full repayment.",Employees Loan Policy
Are loan cases treated equally?,"Yes, based on merit and need.",Employees Loan Policy
Can employees apply for another loan immediately?,"No, only after settlement of the previous loan.",Employees Loan Policy
What content must not be shared without permission?,Private or internal university communications.,Social Media Policy
Can social media activity lead to legal consequences?,"Yes, if it violates laws or university policies.",Social Media Policy
What is expected of employees on social media?,"Personal responsibility, respectful behavior, and adherence to policy.",Social Media Policy
Are unofficial social media groups allowed?,"No, they must be deactivated immediately.",Social Media Policy
What platforms are included in the social media policy?,"Facebook, WhatsApp, Twitter/X, Instagram, Snapchat, Telegram.",Social Media Policy
When was the deactivation deadline set?,"January 05, 2024.",Social Media Policy
Who is responsible for enforcing social media rules?,"The Registrar, along with HoDs and Sectional Heads.",Social Media Policy
"What are the gas charges for Cat-I, II, III houses?",Rs. 2000 per month.,Energy Conservation Policy
Who approved the new energy policy rates?,The Vice Chancellor with Syndicate resolution.,Energy Conservation Policy
Where are these rates applicable?,At Sukkur IBA University Campus and EDC.,Energy Conservation Policy
What is the minimum attendance requirement for students?,"Every student is required to maintain a minimum of 75% attendance in each course, failing which they may be barred from appearing in the final examination.",Student Handbook
Can students apply for rechecking of exam papers?,"Yes, students can apply for rechecking within 10 days of the result declaration. Rechecking will involve checking whether all answers are marked and totals are correct, but not re-evaluation of answers.",Student Handbook
What is the policy for withdrawing from a course?,"A student can withdraw from a course within the first 5 weeks of the semester. A ‘W’ grade will be awarded, which will not affect the GPA. No withdrawal is allowed after the 5th week.",Student Handbook
How is plagiarism dealt with at SIBAU?,"Plagiarism is considered a serious offense. Penalties include grade penalties, course failure, suspension, or even expulsion depending on the severity and recurrence.",Student Handbook
Are there any dress code requirements for students?,"Yes, students are expected to dress in a decent and presentable manner. Wearing inappropriate or revealing clothing is discouraged within university premises.",Student Handbook
What is the purpose of Sukkur IBA University's ICT Policy?,"To establish and implement a modern ICT infrastructure ensuring effective use, control, and security of technology.",ICT Policy
Who approved the ICT Policy?,The Vice Chancellor upon Syndicate resolution #18.69.,ICT Policy
How many devices can faculty and staff connect to the campus network?,Faculty and staff can connect up to five devices.,ICT Policy
How many devices can students connect?,Students can connect up to two devices.,ICT Policy
Is social media access allowed during academic hours?,"No, it is restricted during academic hours for students, faculty, and staff.",ICT Policy
What platform hosts Sukkur IBA University’s LMS?,http://elearning.iba-suk.edu.pk,ICT Policy
Who is responsible for storing previous course data on LMS?,The ICT team stores courses for the last two semesters.,ICT Policy
Are students responsible for managing their e-learning schedule?,"Yes, students must manage time and participate actively.",ICT Policy
What support is provided for e-learning technical issues?,Technical assistance is available through designated support services.,ICT Policy
What is the internet cap for faculty/staff ERP accounts?,4 Mbps.,ICT Policy
What is the internet cap for student CMS IDs?,2 Mbps.,ICT Policy
Are Gmail accounts at Sukkur IBA monitored?,"Yes, organizational emails are subject to monitoring.",ICT Policy
What is the email storage limit for faculty?,100 GB.,ICT Policy
What is the email storage limit for staff?,50 GB.,ICT Policy
What is the email storage limit for students and alumni?,25 GB.,ICT Policy
How are new email accounts created at Sukkur IBA?,Through a formal request approved by the ICT department.,ICT Policy
Are strong passwords mandatory for email accounts?,"Yes, they must meet complexity requirements.",ICT Policy
What happens to email accounts after resignation?,Accounts are suspended after one year.,ICT Policy
Who can request posting rights in email groups?,Department heads or higher authorities.,ICT Policy
Can faculty use Google Drive and YouTube for course storage?,"Yes, for backing up and sharing recorded lectures.",ICT Policy
What is the retention period for email data after account deactivation?,Handled per data protection policies and informed by HR.,ICT Policy
Who monitors official emails in group communications?,ICT department and designated authorities.,ICT Policy
What is the purpose of the Data Center at Sukkur IBA?,"To ensure security, reliability, and management of IT systems.",ICT Policy
What fire suppression system is used in the Data Center?,FM-200 system.,ICT Policy
What cooling method is used in the Data Center?,INROW precision cooling.,ICT Policy
What times is the Data Center accessible?,Between 9:00 AM to 5:00 PM; after-hours with approval.,ICT Policy
What restrictions apply to content on social media?,"Users must not post offensive, defamatory, or inappropriate content.",ICT Policy
Who manages student and alumni email groups?,Career Development Center (CDC).,ICT Policy
How is user authentication handled on the campus network?,Through CMS ID and password.,ICT Policy
Can personal use of email be done on SIBAU email accounts?,"Yes, but only during non-working hours and limited.",ICT Policy
Are expired email IDs deleted?,"Yes, if inactive for 3 years or never used within 6 months.",ICT Policy
What are group managers authorized to do?,Add or remove users from email groups with approval.,ICT Policy
Is duplex printing encouraged at Sukkur IBA?,"Yes, to reduce paper usage.",ICT Policy
Who approves bulk academic printing jobs?,Concerned HoDs and higher authorities.,ICT Policy
Can students access Eduroam WiFi across Pakistan?,"Yes, using their CMS credentials.",ICT Policy
How is LAN access controlled for unauthorized users?,Through authentication systems and account control.,ICT Policy
What is the punishment for violating ICT policies?,"May include suspension of privileges, disciplinary, or legal action.",ICT Policy
What kind of data must not be shared over email?,Confidential and proprietary information without authorization.,ICT Policy
Are students allowed to update their own CMS attendance?,"No, changes must be routed through the CMS team.",ICT Policy
What happens if a gradebook is locked by mistake?,Faculty must request Examination Dept. to unlock it.,ICT Policy
How are official emails regulated for relevance?,Emails must be relevant to group objectives and approved if needed.,ICT Policy
What is the standard naming convention for email accounts?,Set by the ICT department to ensure consistency.,ICT Policy
Are faulty data center equipment replaced?,"Yes, as per IT standards and policies.",ICT Policy
What items are prohibited in the data center?,"Food, drinks, combustible materials, and electronic interference devices.",ICT Policy
Who handles waste management in the Data Center?,Managed via bins outside the Data Center entrance.,ICT Policy
Can social media be accessed for academic purposes?,"Yes, with HoD's approval during office hours.",ICT Policy
Is data backup policy implemented at Sukkur IBA?,"Yes, through designated hardware/software in the data center.",ICT Policy
How are network violations tracked?,Through traffic monitoring by the ICT Department.,ICT Policy
What must be done before printing or photocopying?,Assess necessity and opt for digital alternatives when possible.,ICT Policy
Are campus security cameras regulated by policy?,"Yes, with guidelines on placement, privacy, and data access",ICT Policy
What is the purpose of the HEC Campus Security and Surveillance Policy?,To regulate the use of security cameras for monitoring and recording public areas to ensure safety and security.,Campus Security and Surveillance Policy
Who approved the implementation of this policy at Sukkur IBA University?,The Vice Chancellor of Sukkur IBA University.,Campus Security and Surveillance Policy
What areas are security cameras prohibited from monitoring?,"Residential rooms, restrooms, locker rooms, and any area with a reasonable expectation of privacy.",Campus Security and Surveillance Policy
Who has the authority to access surveillance recordings?,Only the in-charge of the Command and Control Center (CCC Room).,Campus Security and Surveillance Policy
Are real-time camera views allowed for all staff or students?,"No, only authorized and trained personnel can view live feeds when necessary.",Campus Security and Surveillance Policy
Can surveillance recordings be used for monitoring employee conduct?,Only as part of a legitimate investigation resulting from a written complaint.,Campus Security and Surveillance Policy
Who decides on the placement of surveillance cameras?,The university’s Chief Security Officer or the designated Point of Contact (POC) to HEC.,Campus Security and Surveillance Policy
Is HEC allowed to access or retrieve recorded video data?,"No, only the University’s authorized personnel may access recordings.",Campus Security and Surveillance Policy
What should be included in a request for new camera installation?,"Proposed location, purpose, and name/position of the departmental POC.",Campus Security and Surveillance Policy
Are individuals informed about camera surveillance on campus?,"Yes, clear signage is required where cameras are installed.",Campus Security and Surveillance Policy
How long are surveillance recordings typically retained?,Between 7 to 15 days unless retained for investigation or legal proceedings.,Campus Security and Surveillance Policy
Can departments view stored recordings directly?,"No, they must go through the Chief Security Officer to access stored footage.",Campus Security and Surveillance Policy
Can operators monitor individuals based on race or gender?,"No, monitoring based on protected characteristics is strictly prohibited.",Campus Security and Surveillance Policy
"Is secondary recording (e.g., via phones) of video feeds allowed?","No, it is strictly prohibited.",Campus Security and Surveillance Policy
Are mobile surveillance units allowed on campus?,"Yes, with approval of the Chief Security Officer and only in specific cases.",Campus Security and Surveillance Policy
Can temporary cameras be deployed during special events?,"Yes, with prior approval from the Chief Security Officer.",Campus Security and Surveillance Policy
Who maintains a master list of camera placements?,The Chief Security Officer.,Campus Security and Surveillance Policy
What should operators do before being granted system access?,"Read, understand, and acknowledge the surveillance policy.",Campus Security and Surveillance Policy
What training do camera operators receive?,Technical and policy-specific training plus on-site Safe Campus training.,Campus Security and Surveillance Policy
Who conducts audits of camera operations?,The in-charge of the CCC Room.,Campus Security and Surveillance Policy
Can footage be released without Vice Chancellor approval?,"No, all releases require consultation and legal clearance.",Campus Security and Surveillance Policy
What actions are taken for policy violations?,"Disciplinary actions, up to termination or prosecution.",Campus Security and Surveillance Policy
What is the university’s responsibility under this policy?,"Implement, oversee, and coordinate all security camera activities.",Campus Security and Surveillance Policy
Are camera feeds monitored 24/7?,Real-time monitoring is limited and done only when necessary.,Campus Security and Surveillance Policy
What is required for camera access requests by staff?,A formal request through designated approval procedures.,Campus Security and Surveillance Policy
What happens if storage reaches full capacity?,Older images may be overwritten unless saved for official use.,Campus Security and Surveillance Policy
Can the camera field of view include private windows?,"No, camera angles must exclude private or prohibited areas.",Campus Security and Surveillance Policy
Who can authorize release of video for legal defense?,The Chief Security Officer after proper approval.,Campus Security and Surveillance Policy
What is considered a legitimate use of surveillance data?,"Incident investigation, legal defense, or emergency response.",Campus Security and Surveillance Policy
How is the security of surveillance data ensured?,Via password-protected secure servers and limited access.,Campus Security and Surveillance Policy
What laws govern the use of campus surveillance?,Federal/provincial/state laws and relevant university policies.,Campus Security and Surveillance Policy
Who oversees the policy's enforcement and updates?,The Chief Security Officer and the University administration.,Campus Security and Surveillance Policy
Are camera placements reviewed for privacy concerns?,"Yes, and installation may be denied if concerns are valid.",Campus Security and Surveillance Policy
Can students report misuse of surveillance?,"Yes, anonymously or directly to the Campus Security Department.",Campus Security and Surveillance Policy
Is there any public communication regarding surveillance?,"Yes, signage and campus announcements are required.",Campus Security and Surveillance Policy
Are camera operators allowed to retrieve footage?,"No, only view live feeds unless authorized through procedures.",Campus Security and Surveillance Policy
What is the CCC Room’s main responsibility?,Monitor and audit camera operations and recommend changes.,Campus Security and Surveillance Policy
Can surveillance data be used for academic purposes?,"No, only for security, investigation, or legal use.",Campus Security and Surveillance Policy
Are HEC and University both responsible for footage misuse?,"No, HEC is not responsible; only the university holds liability.",Campus Security and Surveillance Policy
Is there any policy cross-referenced?,"Yes, Environmental Safety, Equal Opportunity policies, etc.",Campus Security and Surveillance Policy
Who conducts random reviews of camera footage?,The University’s security team.,Campus Security and Surveillance Policy
Is the surveillance policy subject to periodic review?,"Yes, to ensure it stays current and compliant.",Campus Security and Surveillance Policy
Can departments install their own surveillance cameras?,"No, only through HEC Safe Campus Project and approved channels.",Campus Security and Surveillance Policy
Can external parties retrieve video footage directly?,"No, only through official request with VC’s approval.",Campus Security and Surveillance Policy
What happens if the policy application is unclear?,The Chief Security Officer maintains status quo and seeks clarification.,Campus Security and Surveillance Policy
What protections exist against tampering with recordings?,Systems are configured to prevent duplication or unauthorized access.,Campus Security and Surveillance Policy
Who signs off on the surveillance policy on behalf of the university?,"Vice Chancellor, Rector, or Chief Security Officer.",Campus Security and Surveillance Policy
What is the role of the POC to HEC?,Coordinate with HEC for camera requests and policy compliance.,Campus Security and Surveillance Policy
What is the objective of the surveillance policy?,"To enhance campus safety, deter crime, and aid investigations.",Campus Security and Surveillance Policy
Can individuals be identified through surveillance recordings?,"Yes, when required for investigation or law enforcemen",Campus Security and Surveillance Policy
What is the vision of the Sports Policy 2023 at Sukkur IBA University?,To promote sports education and produce sportspersons who uphold integrity in all aspects of sports.,Sports Policy
What is the mission of the Sports Policy 2023?,To create an environment encouraging excellence in sports and nurturing exceptional sportspersons.,Sports Policy
What are the key aims of the Sports Policy?,"Enhance university prestige, promote participation in competitions, and foster awareness on fitness.",Sports Policy
Who prepared the Sports Policy 2023?,The Department of Physical Education & Sports Sciences.,Sports Policy
What does the department aim to teach in sports sciences?,"Functional anatomy, biomechanics, exercise physiology, and health programming.",Sports Policy
What is the role of the sports committee?,To oversee and implement the sports policy and maintain the standard of sports activities.,Sports Policy
How often should the sports policy be revised?,It should be revised frequently as necessary.,Sports Policy
Who chairs the Sports Policy Committee?,Dr. Shahzaman Khan.,Sports Policy
What instruction is given regarding event documentation?,No document shall be executed without the Director of Sports’ signature.,Sports Policy
Can students conduct sports activities independently?,"No, they must seek permission through proper channels.",Sports Policy
Who approves the sports annual calendar?,The university administration in consultation with the Directorate of Sports.,Sports Policy
Is there a dress code for intervarsity games?,"Yes, players and coaches are provided with tracksuits.",Sports Policy
Are daily allowances provided during weekend events?,"Yes, with permission from competent authority.",Sports Policy
Is there a sports-based admission quota at Sukkur IBA?,"Yes, 2% quota as per HEC policy.",Sports Policy
What must players do to apply under sports quota?,Submit online admission form and attend aptitude + physical tests.,Sports Policy
Who conducts the sports trial interviews?,Coaches and experts nominated by the HOD and Sports Directorate.,Sports Policy
Are sports-based admissions merit-based?,"Yes, 100% merit-based as per committee recommendations.",Sports Policy
What is the age limit for sports quota admission?,18 to 23 years.,Sports Policy
What happens if a player wins an intervarsity medal?,"They may receive educational fee concessions: Gold 100%, Silver 70%, Bronze 50%.",Sports Policy
Can open-merit admitted students join university teams?,"Yes, if they perform well, they may be included by the Director of Sports.",Sports Policy
Are players’ educational documents verified?,"Yes, by the Deputy Director or Demonstrator.",Sports Policy
What is the responsibility of the Director during tournaments?,Ensure participation and proper scheduling for student-athletes.,Sports Policy
Can players get exams rescheduled?,"Yes, upon approval and request through proper channels.",Sports Policy
Who informs departments of tournament schedules?,The Directorate of Sports via official communication.,Sports Policy
What are students’ responsibilities in sports events?,Submit prior applications for participation and cooperate with officials.,Sports Policy
Is health and fitness research part of the policy?,"Yes, research and conferences in physical education are encouraged.",Sports Policy
Are mass sports participation programs included?,"Yes, to promote inclusion across genders and communities.",Sports Policy
Is anti-doping compliance considered?,"Yes, coordinated with state initiatives and authorities.",Sports Policy
What infrastructure support is planned?,The department aims to improve grounds and indoor facilities.,Sports Policy
Is there policy guidance for interdepartmental games?,"Yes, managed and regulated by the Directorate of Sports.",Sports Policy
How is conflict in sports management resolved?,Through directives from the Sports Policy Committee.,Sports Policy
Are officials required to know HEC sports rules?,"Yes, especially game-in-charges and coaches.",Sports Policy
Are there rewards for sports achievements?,"Yes, including certificates, shields, and sports dinners.",Sports Policy
Are physical fitness tests mandatory for sports admission?,"Yes, they carry 40% weight alongside 60% aptitude.",Sports Policy
What happens if a student misses class due to sports?,The Sports Directorate must inform departments for rescheduling.,Sports Policy
Who ensures quality of sports trials?,Deputy/Assistant Directors and Demonstrators.,Sports Policy
What happens at the end of an event?,A sports dinner is arranged for winning teams and officials.,Sports Policy
Who can nominate new sports coaches?,"The HOD of Physical Education, after consultations.",Sports Policy
How many committee meetings occurred before finalizing the policy?,Three meetings.,Sports Policy
Are sports students allowed academic relief?,"Yes, including exam rescheduling and assignment extensions.",Sports Policy
Who monitors intervarsity participation records?,Directorate of Sports.,Sports Policy
Are sports uniforms standardized?,"Yes, specified for various competitions.",Sports Policy
Are game managers allowed to recommend players?,"Yes, within formal selection processes.",Sports Policy
Can new facilities be proposed under this policy?,"Yes, as per needs assessed by the sports department.",Sports Policy
What is emphasized during player training?,Coordination between academic and athletic duties.,Sports Policy
Can faculty participate in sports events?,"Yes, with prior approvals and adherence to protocols.",Sports Policy
Are sports meals and travel arranged by university?,"Yes, subject to rules and approvals.",Sports Policy
Is there any representation of women in sports committee?,"Yes, inclusivity is emphasized.",Sports Policy
Are sports events aligned with academic calendar?,"Yes, through advance planning with the Directorate.",Sports Policy
What is the objective of the EDC Guest House Policy?,"To define procedures for managing guest services, rental spaces, and food at EDC.",EDC Guest House Management Policy and Revised Rates
What are the accommodation types offered at EDC?,"Single Executive Room, Executive Suite, and Executive Suite Plus.",EDC Guest House Management Policy and Revised Rates
What is the rate for a Single Executive Room?,"Rs. 5,000 per night (excluding taxes).",EDC Guest House Management Policy and Revised Rates
What is the rate for Executive Suite?,"Rs. 9,000 per night.",EDC Guest House Management Policy and Revised Rates
What is included in the Executive Suite Plus?,"AC rooms, sofa, dining table, breakfast, refreshments, and balcony access.",EDC Guest House Management Policy and Revised Rates
Who can avail EDC Guest House services?,"Official guests, university employees, alumni, corporate clients, and referred guests.",EDC Guest House Management Policy and Revised Rates
Are any discounts available for alumni?,"Yes, 50% discount upon valid alumni card presentation.",EDC Guest House Management Policy and Revised Rates
What are the facilities in Executive Suites?,"Attached bath, Wi-Fi, cable TV, sofa set, dining, and mini fridge.",EDC Guest House Management Policy and Revised Rates
Who approves concessions above standard discounts?,"The Vice Chancellor, on recommendations.",EDC Guest House Management Policy and Revised Rates
What is the rate for training in the Mini Auditorium?,"Rs. 35,000 per day.",EDC Guest House Management Policy and Revised Rates
Can office space be leased at EDC?,"Yes, with VC’s approval for up to one year.",EDC Guest House Management Policy and Revised Rates
Are concessions given to project clients?,"Yes, up to 50% discount on VC’s approval.",EDC Guest House Management Policy and Revised Rates
Are faculty allowed to book rooms for family?,"Yes, with 50% discount, subject to availability.",EDC Guest House Management Policy and Revised Rates
What is the SOP for corporate bookings?,Requires official email/letter with details including participants and duration.,EDC Guest House Management Policy and Revised Rates
Is tax included in quoted guest house prices?,"No, taxes are excluded from listed rates.",EDC Guest House Management Policy and Revised Rates
Who manages food for official university guests?,Manager Guest House with VC’s approval.,EDC Guest House Management Policy and Revised Rates
Are meals included in the stay package?,"Yes, for the first two guests; others are charged additionally.",EDC Guest House Management Policy and Revised Rates
What is the food charge policy for additional guests?,Extra charge + fixed percentage based on meal type.,EDC Guest House Management Policy and Revised Rates
What is the refreshment policy for guests?,"Includes breakfast, water, soft drinks, tea/coffee sachets.",EDC Guest House Management Policy and Revised Rates
Can corporate clients arrange their own food?,"Yes, or university can arrange with VC/Director EDC approval.",EDC Guest House Management Policy and Revised Rates
What is the food rate formula?,Includes per-person meal cost plus fixed charges (20–30%).,EDC Guest House Management Policy and Revised Rates
Are staff allowed to refer non-family guests?,"Yes, but they pay full standard rate with no concession.",EDC Guest House Management Policy and Revised Rates
What is the discount policy for exceptional circumstances?,Up to 100% discount or FOC with VC’s approval.,EDC Guest House Management Policy and Revised Rates
Are training rooms available for online lectures?,"Yes, rates start at Rs. 5,000 per day.",EDC Guest House Management Policy and Revised Rates
What is required for food arrangement approval?,VC’s prior approval at least seven days in advance.,EDC Guest House Management Policy and Revised Rates
What is the rate for computer lab rental?,"Rs. 25,000 per day.",EDC Guest House Management Policy and Revised Rates
Can facilities be leased to international organizations?,"Yes, if revenue is generated and VC approves.",EDC Guest House Management Policy and Revised Rates
What documentation is needed for booking?,"Letter, profile, NTN, participant list, and purpose.",EDC Guest House Management Policy and Revised Rates
Can EDC outsource catering services?,"Yes, with VC’s permission.",EDC Guest House Management Policy and Revised Rates
